посчитанно 5.035%. За 0.0 часов, 0.0 минут, 11.475 секунд.
посчитанно 10.07%. За 0.0 часов, 0.0 минут, 21.627 секунд.
посчитанно 15.105%. За 0.0 часов, 0.0 минут, 27.055 секунд.
посчитанно 20.0%. За 0.0 часов, 0.0 минут, 35.014 секунд.
посчитанно 25.035%. За 0.0 часов, 0.0 минут, 41.579 секунд.
посчитанно 30.07%. За 0.0 часов, 0.0 минут, 47.693 секунд.
посчитанно 35.105%. За 0.0 часов, 0.0 минут, 52.559 секунд.
посчитанно 40.0%. За 0.0 часов, 0.0 минут, 58.58 секунд.
посчитанно 45.035%. За 0.0 часов, 1.0 минут, 4.517 секунд.
посчитанно 50.07%. За 0.0 часов, 1.0 минут, 10.177 секунд.
посчитанно 55.105%. За 0.0 часов, 1.0 минут, 15.857 секунд.
посчитанно 60.0%. За 0.0 часов, 1.0 минут, 20.577 секунд.
посчитанно 65.035%. За 0.0 часов, 1.0 минут, 25.32 секунд.
посчитанно 70.07%. За 0.0 часов, 1.0 минут, 30.046 секунд.
посчитанно 75.105%. За 0.0 часов, 1.0 минут, 36.277 секунд.
посчитанно 80.0%. За 0.0 часов, 1.0 минут, 41.943 секунд.
посчитанно 85.035%. За 0.0 часов, 1.0 минут, 47.982 секунд.
посчитанно 90.07%. За 0.0 часов, 1.0 минут, 52.98 секунд.
посчитанно 95.105%. За 0.0 часов, 1.0 минут, 58.699 секунд.
                заняло 0.0 часов, 2.0 минут, 3.713 секунд.
