посчитанно 5.0%. За 0.0 часов, 0.0 минут, 11.767 секунд.
посчитанно 10.1%. За 0.0 часов, 0.0 минут, 23.529 секунд.
посчитанно 15.0%. За 0.0 часов, 0.0 минут, 30.59 секунд.
посчитанно 20.0%. За 0.0 часов, 0.0 минут, 40.38 секунд.
посчитанно 25.0%. За 0.0 часов, 0.0 минут, 47.832 секунд.
посчитанно 30.1%. За 0.0 часов, 0.0 минут, 54.826 секунд.
посчитанно 35.0%. За 0.0 часов, 1.0 минут, 0.121 секунд.
посчитанно 40.0%. За 0.0 часов, 1.0 минут, 7.252 секунд.
посчитанно 45.0%. За 0.0 часов, 1.0 минут, 14.788 секунд.
посчитанно 50.1%. За 0.0 часов, 1.0 минут, 21.724 секунд.
посчитанно 55.0%. За 0.0 часов, 1.0 минут, 29.502 секунд.
посчитанно 60.0%. За 0.0 часов, 1.0 минут, 35.983 секунд.
посчитанно 65.0%. За 0.0 часов, 1.0 минут, 41.81 секунд.
посчитанно 70.1%. За 0.0 часов, 1.0 минут, 46.992 секунд.
посчитанно 75.0%. За 0.0 часов, 1.0 минут, 53.891 секунд.
посчитанно 80.0%. За 0.0 часов, 2.0 минут, 0.397 секунд.
посчитанно 85.0%. За 0.0 часов, 2.0 минут, 7.188 секунд.
посчитанно 90.1%. За 0.0 часов, 2.0 минут, 12.762 секунд.
посчитанно 95.0%. За 0.0 часов, 2.0 минут, 19.055 секунд.
 ВЕСЬ ПРОЦЕСС ЗАНЯЛ: 0.0 часов, 2.0 минут, 24.81 секунд.
