посчитанно 5.035%. За 0.0 часов, 0.0 минут, 25.288 секунд.
посчитанно 10.0%. За 0.0 часов, 0.0 минут, 39.82 секунд.
посчитанно 15.035%. За 0.0 часов, 0.0 минут, 53.085 секунд.
посчитанно 20.0%. За 0.0 часов, 1.0 минут, 4.134 секунд.
посчитанно 25.035%. За 0.0 часов, 1.0 минут, 16.827 секунд.
посчитанно 30.0%. За 0.0 часов, 1.0 минут, 27.796 секунд.
посчитанно 35.035%. За 0.0 часов, 1.0 минут, 38.813 секунд.
посчитанно 40.0%. За 0.0 часов, 1.0 минут, 50.268 секунд.
посчитанно 45.035%. За 0.0 часов, 2.0 минут, 3.696 секунд.
посчитанно 50.0%. За 0.0 часов, 2.0 минут, 16.319 секунд.
посчитанно 55.035%. За 0.0 часов, 2.0 минут, 28.823 секунд.
посчитанно 60.0%. За 0.0 часов, 2.0 минут, 40.769 секунд.
посчитанно 65.035%. За 0.0 часов, 2.0 минут, 52.73 секунд.
посчитанно 70.0%. За 0.0 часов, 3.0 минут, 7.36 секунд.
посчитанно 75.035%. За 0.0 часов, 3.0 минут, 18.466 секунд.
посчитанно 80.0%. За 0.0 часов, 3.0 минут, 31.586 секунд.
посчитанно 85.035%. За 0.0 часов, 3.0 минут, 45.37 секунд.
посчитанно 90.0%. За 0.0 часов, 3.0 минут, 58.942 секунд.
посчитанно 95.035%. За 0.0 часов, 4.0 минут, 14.525 секунд.
заняло 0.0 часов, 4.0 минут, 38.114 секунд.
